Value,Count,TERTV8,SECV8N,SECV8,PRIMV8N,PRIMV8,SIMPN,SIMP,AGIND
0,168822267,No data/offshore,0,No data/offshore,0,No data/offshore,0,No data/offshore,No data/offshore
111,2470593,1.1.1 Strict nature reserves,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Other uses
112,616492,1.1.2 Wilderness area,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Other uses
113,6075282,1.1.3 National park,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Other uses
114,292691,1.1.4 Natural feature protection,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Other uses
115,417640,1.1.5 Habitat/species management area,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Other uses
116,1215524,1.1.6 Protected landscape,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Other uses
117,475732,1.1.7 Other conserved area,11,1.1 Nature conservation,1,1 Conservation and natural environments,1,Nature conservation,Other uses
120,5388195,1.2.0 Managed resource protection,12,1.2 Managed resource protection,1,1 Conservation and natural environments,2,Managed resource protection,Other uses
125,17542140,1.2.5 Traditional indigenous uses,12,1.2 Managed resource protection,1,1 Conservation and natural environments,2,Managed resource protection,Other uses
130,322726,1.3.0 Other minimal use,13,1.3 Other minimal use,1,1 Conservation and natural environments,3,Other minimal use,Other uses
131,347807,1.3.1 Defence land - natural areas,13,1.3 Other minimal use,1,1 Conservation and natural environments,3,Other minimal use,Other uses
132,769038,1.3.2 Stock route,13,1.3 Other minimal use,1,1 Conservation and natural environments,3,Other minimal use,Other uses
133,13197250,1.3.3 Residual native cover,13,1.3 Other minimal use,1,1 Conservation and natural environments,3,Other minimal use,Other uses
134,46,1.3.4 Rehabilitation,13,1.3 Other minimal use,1,1 Conservation and natural environments,3,Other minimal use,Other uses
